data_version,as_of_date,fund_code,reason_code,reason_detail
202603,2026-02-13,000005,missing_nav,no adjusted nav data
202603,2026-02-13,000009,missing_nav,no adjusted nav data
202603,2026-02-13,000010,missing_nav,no adjusted nav data
202603,2026-02-13,000011,missing_nav,no adjusted nav data
202603,2026-02-13,000013,missing_nav,no adjusted nav data
202603,2026-02-13,000014,missing_nav,no adjusted nav data
202603,2026-02-13,000015,missing_nav,no adjusted nav data
202603,2026-02-13,000016,missing_nav,no adjusted nav data
202603,2026-02-13,000017,missing_nav,no adjusted nav data
202603,2026-02-13,000020,missing_nav,no adjusted nav data
202603,2026-02-13,000021,missing_nav,no adjusted nav data
202603,2026-02-13,000024,missing_nav,no adjusted nav data
202603,2026-02-13,000025,missing_nav,no adjusted nav data
202603,2026-02-13,000028,missing_nav,no adjusted nav data
202603,2026-02-13,000029,missing_nav,no adjusted nav data
202603,2026-02-13,000030,missing_nav,no adjusted nav data
202603,2026-02-13,000031,missing_nav,no adjusted nav data
202603,2026-02-13,000032,missing_nav,no adjusted nav data
202603,2026-02-13,000033,missing_nav,no adjusted nav data
202603,2026-02-13,000037,missing_nav,no adjusted nav data
202603,2026-02-13,000039,missing_nav,no adjusted nav data
202603,2026-02-13,000041,missing_nav,no adjusted nav data
202603,2026-02-13,000042,missing_nav,no adjusted nav data
202603,2026-02-13,000043,missing_nav,no adjusted nav data
202603,2026-02-13,000044,missing_nav,no adjusted nav data
202603,2026-02-13,000045,missing_nav,no adjusted nav data
202603,2026-02-13,000046,missing_nav,no adjusted nav data
202603,2026-02-13,000047,missing_nav,no adjusted nav data
202603,2026-02-13,000048,missing_nav,no adjusted nav data
202603,2026-02-13,000051,missing_nav,no adjusted nav data
202603,2026-02-13,000053,missing_nav,no adjusted nav data
202603,2026-02-13,000054,missing_nav,no adjusted nav data
202603,2026-02-13,000055,missing_nav,no adjusted nav data
202603,2026-02-13,000056,missing_nav,no adjusted nav data
202603,2026-02-13,000057,missing_nav,no adjusted nav data
202603,2026-02-13,000058,missing_nav,no adjusted nav data
202603,2026-02-13,000059,missing_nav,no adjusted nav data
202603,2026-02-13,000061,missing_nav,no adjusted nav data
202603,2026-02-13,000063,missing_nav,no adjusted nav data
202603,2026-02-13,000064,missing_nav,no adjusted nav data
202603,2026-02-13,000065,missing_nav,no adjusted nav data
202603,2026-02-13,000066,missing_nav,no adjusted nav data
202603,2026-02-13,000067,missing_nav,no adjusted nav data
202603,2026-02-13,000068,missing_nav,no adjusted nav data
202603,2026-02-13,000069,missing_nav,no adjusted nav data
202603,2026-02-13,000070,missing_nav,no adjusted nav data
202603,2026-02-13,000071,missing_nav,no adjusted nav data
202603,2026-02-13,000072,missing_nav,no adjusted nav data
202603,2026-02-13,000073,missing_nav,no adjusted nav data
202603,2026-02-13,000074,missing_nav,no adjusted nav data
202603,2026-02-13,000075,missing_nav,no adjusted nav data
202603,2026-02-13,000076,missing_nav,no adjusted nav data
202603,2026-02-13,000077,missing_nav,no adjusted nav data
202603,2026-02-13,000078,missing_nav,no adjusted nav data
202603,2026-02-13,000079,missing_nav,no adjusted nav data
202603,2026-02-13,000080,missing_nav,no adjusted nav data
202603,2026-02-13,000081,missing_nav,no adjusted nav data
202603,2026-02-13,000082,missing_nav,no adjusted nav data
202603,2026-02-13,000083,missing_nav,no adjusted nav data
202603,2026-02-13,000084,missing_nav,no adjusted nav data
202603,2026-02-13,000085,missing_nav,no adjusted nav data
202603,2026-02-13,000086,missing_nav,no adjusted nav data
202603,2026-02-13,000089,missing_nav,no adjusted nav data
202603,2026-02-13,000090,missing_nav,no adjusted nav data
202603,2026-02-13,000103,missing_nav,no adjusted nav data
202603,2026-02-13,000104,missing_nav,no adjusted nav data
202603,2026-02-13,000105,missing_nav,no adjusted nav data
202603,2026-02-13,000106,missing_nav,no adjusted nav data
202603,2026-02-13,000107,missing_nav,no adjusted nav data
202603,2026-02-13,000109,missing_nav,no adjusted nav data
202603,2026-02-13,000110,missing_nav,no adjusted nav data
202603,2026-02-13,000111,missing_nav,no adjusted nav data
202603,2026-02-13,000112,missing_nav,no adjusted nav data
202603,2026-02-13,000116,missing_nav,no adjusted nav data
202603,2026-02-13,000117,missing_nav,no adjusted nav data
202603,2026-02-13,000118,missing_nav,no adjusted nav data
202603,2026-02-13,000119,missing_nav,no adjusted nav data
202603,2026-02-13,000120,missing_nav,no adjusted nav data
202603,2026-02-13,000121,missing_nav,no adjusted nav data
202603,2026-02-13,000122,missing_nav,no adjusted nav data
202603,2026-02-13,000123,missing_nav,no adjusted nav data
202603,2026-02-13,000124,missing_nav,no adjusted nav data
202603,2026-02-13,000126,missing_nav,no adjusted nav data
202603,2026-02-13,000127,missing_nav,no adjusted nav data
202603,2026-02-13,000128,missing_nav,no adjusted nav data
202603,2026-02-13,000129,missing_nav,no adjusted nav data
202603,2026-02-13,000130,missing_nav,no adjusted nav data
202603,2026-02-13,000131,missing_nav,no adjusted nav data
202603,2026-02-13,000134,missing_nav,no adjusted nav data
202603,2026-02-13,000135,missing_nav,no adjusted nav data
202603,2026-02-13,000136,missing_nav,no adjusted nav data
202603,2026-02-13,000137,missing_nav,no adjusted nav data
202603,2026-02-13,000138,missing_nav,no adjusted nav data
202603,2026-02-13,000139,missing_nav,no adjusted nav data
202603,2026-02-13,070002,missing_nav,no adjusted nav data
202603,2026-02-13,161005,missing_nav,no adjusted nav data
202603,2026-02-13,163402,missing_nav,no adjusted nav data
