基金代码,基金名称,期初日期,期末日期,规模-亿元,成立年数,年化收益率,年化收益率排名,上涨季度比例,上涨季度比例排名,上涨月份比例,上涨月份比例排名,上涨星期比例,上涨星期比例排名,季涨跌幅标准差,季涨跌幅标准差排名,月涨跌幅标准差,月涨跌幅标准差排名,周涨跌幅标准差,周涨跌幅标准差排名,最大回撤率,最大回撤率排名,近3年年化收益率,近3年年化收益率排名,近3年上涨季度比例,近3年上涨季度比例排名,近3年上涨月份比例,近3年上涨月份比例排名,近3年上涨星期比例,近3年上涨星期比例排名,近3年季涨跌幅标准差,近3年季涨跌幅标准差排名,近3年月涨跌幅标准差,近3年月涨跌幅标准差排名,近3年周涨跌幅标准差,近3年周涨跌幅标准差排名,近3年最大回撤率,近3年最大回撤率排名,近1年年化收益率,近1年年化收益率排名,近1年上涨月份比例,近1年上涨月份比例排名,近1年上涨星期比例,近1年上涨星期比例排名,近1年月涨跌幅标准差,近1年月涨跌幅标准差排名,近1年周涨跌幅标准差,近1年周涨跌幅标准差排名,近1年最大回撤率,近1年最大回撤率排名,前1月涨跌幅,前1月涨跌幅排名,月涨跌幅,月涨跌幅排名,夏普比率,夏普比率排名,卡玛比率,卡玛比率排名,基金类型,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,管理费率,托管费率,销售服务费率,最高认购费率,最高认购费率来源,手续费,手续费来源,最近更新日期,最近人事变动日期
000001,华夏成长混合,2001-12-18,2026-02-13,29.37,24.16,8.65,20,54,84,56,63,52,81,12.46,81,6.22,74,2.78,71,59.09,81,4.66,31,58,55,42,81,46,87,10.8,84,5.68,77,2.64,75,34.42,80,36.34,14,50,81,56,73,5.88,85,2.89,87,12.48,73,4.29,9,2.24,17,0.45,66,0.15,68,混合型-灵活,开放申购,开放赎回,,10.0,100000000000.0,1.2,0.2,,1.0,fund_overview.最高认购费率,0.15,fund_purchase.手续费,2026-02-13,2024-12-28
000003,中海可转债债券A,2013-03-20,2026-02-13,0.53,12.9,0.86,89,48,88,48,91,51,89,7.86,57,4.97,60,2.58,64,63.76,89,8.93,15,58,55,53,51,52,55,5.71,60,3.24,59,1.78,59,18.17,56,28.84,16,67,40,60,50,3.54,65,2.04,71,9.92,64,7.43,6,3.91,6,0.06,91,0.01,91,债券型-混合二级,开放申购,开放赎回,,10.0,10000000000.0,0.75,0.2,0.0,0.6,fund_overview.最高认购费率,0.08,fund_purchase.手续费,2026-02-13,2024-07-20
000004,中海可转债债券C,2013-03-20,2026-02-13,0.93,12.9,1.93,82,48,88,48,91,51,86,8.84,63,5.12,61,2.52,60,63.95,91,8.43,16,58,55,50,65,52,55,5.69,59,3.24,60,1.77,58,18.74,57,28.27,17,67,40,60,50,3.54,64,2.03,70,9.91,63,7.41,7,3.81,8,0.12,86,0.03,88,债券型-混合二级,开放申购,开放赎回,,10.0,10000000000.0,0.75,0.2,0.4,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026-02-13,2024-07-20
000006,西部利得量化成长混合A,2019-03-19,2026-02-13,10.6,6.91,19.36,1,71,49,69,36,59,36,10.27,67,5.84,68,2.75,69,39.1,55,12.35,8,75,35,67,36,58,37,9.47,80,5.32,72,2.61,74,29.21,74,47.76,5,92,6,73,6,3.94,73,1.86,65,12.14,69,11.75,2,2.82,11,0.93,35,0.5,40,混合型-偏股,开放申购,开放赎回,,10.0,100000000000.0,1.2,0.1,0.0,1.2,fund_overview.最高认购费率,0.15,fund_purchase.手续费,2026-02-13,2024-03-29
000008,嘉实中证500ETF联接A,2013-03-22,2026-02-13,15.9,12.9,7.47,28,56,78,51,87,55,60,12.16,78,6.61,79,3.14,81,62.2,85,10.2,11,50,67,39,87,51,67,9.29,79,6.29,82,2.91,84,28.49,73,40.49,11,58,65,62,40,5.38,82,2.46,83,13.1,78,8.84,5,3.11,9,0.37,69,0.12,73,指数型-股票,开放申购,开放赎回,,10.0,100000000000.0,0.15,0.05,0.0,1.0,fund_overview.最高认购费率,0.12,fund_purchase.手续费,2026-02-13,2026-01-14
000011,华夏大盘精选混合A,2004-08-11,2026-02-13,39.89,21.51,19.13,2,59,70,56,67,55,58,16.19,92,7.42,85,3.16,82,49.55,62,6.25,27,42,77,44,76,47,83,10.64,83,6.27,80,2.59,72,35.59,84,37.91,12,58,65,58,61,5.38,83,2.34,76,11.1,68,4.16,12,1.53,21,0.83,40,0.39,48,混合型-灵活,开放申购,开放赎回,,10.0,100000000000.0,1.2,0.2,0.0,1.0,fund_overview.最高认购费率,0.15,fund_purchase.手续费,2026-02-13,2024-03-28
000014,华夏聚利债券A,2013-03-19,2026-02-13,8.01,12.91,6.35,32,67,52,59,54,55,56,3.73,46,2.22,48,1.09,48,20.13,50,6.99,24,58,55,61,44,53,46,4.62,57,3.11,57,1.54,55,19.12,58,23.07,19,67,40,58,61,2.36,55,1.33,57,5.32,51,3.21,18,1.51,22,0.65,48,0.32,50,债券型-混合一级,开放申购,开放赎回,,10.0,100000000000.0,0.7,0.2,0.0,0.6,fund_overview.最高认购费率,0.06,fund_purchase.手续费,2026-02-13,2026-01-28
000015,华夏纯债债券A,2013-03-08,2026-02-13,59.36,12.94,3.88,62,87,11,75,26,66,19,1.13,18,0.6,17,0.23,17,4.21,15,3.3,53,92,12,83,10,74,12,0.59,16,0.28,15,0.12,11,0.8,11,1.78,74,83,14,71,10,0.2,16,0.09,9,0.3,8,0.27,60,0.17,64,1.43,18,0.92,12,债券型-长债,开放申购,开放赎回,,10.0,100000000000.0,0.3,0.1,0.0,0.6,fund_overview.最高认购费率,0.08,fund_purchase.手续费,2026-02-13,2017-09-09
000016,华夏纯债债券C,2013-03-08,2026-02-13,10.87,12.94,3.46,71,83,23,74,30,63,26,1.12,17,0.6,18,0.23,18,4.27,16,2.9,61,92,12,81,14,73,16,0.6,17,0.28,14,0.12,12,0.82,12,1.38,81,75,26,69,15,0.2,15,0.09,10,0.33,9,0.24,63,0.16,66,1.18,25,0.81,18,债券型-长债,开放申购,开放赎回,,10.0,100000000000.0,0.3,0.1,0.4,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026-02-13,2017-09-09
000017,财通可持续混合,2013-03-27,2026-02-13,1.58,12.88,15.22,4,63,58,55,68,53,74,15.27,89,8.18,91,3.52,88,57.9,78,18.29,4,67,44,44,76,47,83,17.56,93,9.76,93,3.97,93,33.43,77,77.64,2,58,65,56,73,11.99,93,4.79,93,27.72,93,1.66,28,-2.77,90,0.64,49,0.26,55,混合型-偏股,限大额,开放赎回,,10.0,500000.0,1.2,0.2,,1.2,fund_overview.最高认购费率,0.15,fund_purchase.手续费,2026-02-13,2018-03-08
