基金代码,基金名称,期初日期,期末日期,规模-亿元,成立年数,年化收益率,上涨季度比例,上涨月份比例,上涨星期比例,季涨跌幅标准差,月涨跌幅标准差,周涨跌幅标准差,最大回撤率,近3年年化收益率,近3年上涨季度比例,近3年上涨月份比例,近3年上涨星期比例,近3年季涨跌幅标准差,近3年月涨跌幅标准差,近3年周涨跌幅标准差,近3年最大回撤率,近1年年化收益率,近1年上涨月份比例,近1年上涨星期比例,近1年月涨跌幅标准差,近1年周涨跌幅标准差,近1年最大回撤率,最近一个月涨跌幅,近1年夏普比率,近3年夏普比率,近1年卡玛比率,近3年卡玛比率,全期最长回撤修复天数,近1年最长回撤修复天数,近3年最长回撤修复天数,全期最大单日跌幅,近1年最大单日跌幅,近3年最大单日跌幅,基金类型,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,管理费率,托管费率,销售服务费率,最高认购费率,最高认购费率来源,手续费,手续费来源,最近更新日期,最近人事变动日期
000006,西部利得量化成长混合A,2019-03-19,2026-02-27,10.6,6.95,19.65,71,69,59,10.37,5.84,2.75,39.1,14.18,75,67,58,9.76,5.32,2.62,29.21,47.08,92,75,3.86,1.87,12.14,11.75,3.04,0.72,3.88,0.49,358,65,177,-8.95,-8.95,-8.95,混合型-偏股,开放申购,开放赎回,,10.0,100000000000.0,1.2,0.1,0.0,1.2,fund_overview.最高认购费率,0.15,fund_purchase.手续费,2026-02-27,2024-03-29
000014,华夏聚利债券A,2013-03-19,2026-02-27,8.01,12.94,6.31,67,59,55,3.73,2.22,1.09,20.13,7.18,58,61,52,4.61,3.11,1.55,19.12,20.2,67,57,2.39,1.33,5.32,3.21,1.96,0.54,3.8,0.38,193,84,151,-4.49,-3.64,-3.73,债券型-混合一级,开放申购,开放赎回,,10.0,100000000000.0,0.7,0.2,0.0,0.6,fund_overview.最高认购费率,0.06,fund_purchase.手续费,2026-02-27,2026-01-28
000008,嘉实中证500ETF联接A,2013-03-22,2026-02-27,15.9,12.94,7.78,56,52,55,12.23,6.61,3.14,62.2,12.1,50,42,51,9.7,6.29,2.94,28.49,43.24,67,63,5.24,2.47,13.1,8.84,2.22,0.56,3.3,0.42,92,101,280,-9.06,-9.06,-9.06,指数型-股票,开放申购,开放赎回,,10.0,100000000000.0,0.15,0.05,0.0,1.0,fund_overview.最高认购费率,0.12,fund_purchase.手续费,2026-02-27,2026-01-14
000005,嘉实增强信用定期债券,2013-03-08,2026-02-27,3.42,12.97,4.28,85,76,64,1.14,0.6,0.27,3.96,3.25,83,81,72,0.65,0.31,0.13,0.93,2.3,75,69,0.26,0.13,0.58,0.31,0.85,1.74,3.99,3.51,287,36,37,-1.32,-0.17,-0.31,债券型-混合一级,暂停申购,暂停赎回,2026-03-09,10.0,100000000000.0,0.3,0.1,,0.6,fund_overview.最高认购费率,0.08,fund_purchase.手续费,2026-02-27,2024-10-10
000015,华夏纯债债券A,2013-03-08,2026-02-27,59.36,12.97,3.87,87,75,66,1.13,0.6,0.23,4.21,3.3,92,83,75,0.59,0.28,0.12,0.8,1.91,83,73,0.2,0.08,0.3,0.27,0.71,2.12,6.26,4.15,465,40,52,-1.14,-0.1,-0.34,债券型-长债,开放申购,开放赎回,,10.0,100000000000.0,0.3,0.1,0.0,0.6,fund_overview.最高认购费率,0.08,fund_purchase.手续费,2026-02-27,2017-09-09
000016,华夏纯债债券C,2013-03-08,2026-02-27,10.87,12.97,3.45,83,74,63,1.13,0.6,0.23,4.27,2.89,92,81,73,0.6,0.28,0.12,0.82,1.49,75,71,0.2,0.09,0.33,0.24,0.04,1.64,4.59,3.54,484,43,60,-1.15,-0.1,-0.35,债券型-长债,开放申购,开放赎回,,10.0,100000000000.0,0.3,0.1,0.4,0.0,fund_overview.最高认购费率,0.0,fund_purchase.手续费,2026-02-27,2017-09-09
000011,华夏大盘精选混合A,2004-08-11,2026-02-27,39.89,21.55,19.19,59,56,55,16.19,7.42,3.16,49.55,7.66,42,47,47,10.7,6.26,2.61,34.75,35.8,67,59,5.28,2.3,10.94,4.16,2.01,0.4,3.27,0.22,1562,101,560,-8.29,-7.02,-7.02,混合型-灵活,开放申购,开放赎回,,10.0,100000000000.0,1.2,0.2,0.0,1.0,fund_overview.最高认购费率,0.15,fund_purchase.手续费,2026-02-27,2024-03-28
000001,华夏成长混合,2001-12-18,2026-02-27,29.37,24.19,8.67,54,56,52,12.46,6.22,2.78,59.09,5.29,58,42,46,10.82,5.67,2.64,34.42,29.78,50,57,5.84,2.78,12.48,4.29,1.52,0.29,2.39,0.15,2266,105,564,-7.88,-7.58,-7.58,混合型-灵活,开放申购,开放赎回,,10.0,100000000000.0,1.2,0.2,,1.0,fund_overview.最高认购费率,0.15,fund_purchase.手续费,2026-02-27,2024-12-28
000020,景顺长城品质投资混合A,2013-03-19,2026-02-27,3.88,12.94,13.24,62,57,56,12.65,6.76,3.1,50.6,10.56,50,50,53,9.7,6.4,2.81,32.67,44.34,75,67,4.96,2.18,11.74,3.77,2.51,0.53,3.78,0.32,1412,79,540,-8.19,-7.81,-7.81,混合型-偏股,开放申购,开放赎回,,10.0,100000000000.0,1.2,0.2,0.0,1.2,fund_overview.最高认购费率,0.15,fund_purchase.手续费,2026-02-27,2017-01-06
000037,广发景宁债券A,2013-06-20,2026-02-27,110.25,12.69,1.75,83,79,75,0.87,0.46,0.2,2.63,3.81,83,81,76,0.66,0.32,0.14,0.93,2.81,83,75,0.25,0.12,0.53,0.3,1.52,2.37,5.29,4.08,2498,34,52,-0.41,-0.16,-0.34,债券型-长债,限大额,开放赎回,,10.0,10000000.0,0.3,0.05,0.0,0.0,fund_overview.最高认购费率,0.08,fund_purchase.手续费,2026-02-27,2020-12-21
